arrowhead
28,85,1
110,80,1
118,80,1
127,80,1
135,80,1
141,80,1
147,80,1
152,80,1
156,80,1
160,80,1
162,80,1
164,80,1
165,80,1
165,80,1
139,38,2
183,81,2
186,85,2
188,86,2
189,88,2
190,90,2
191,92,2
183,93,2
180,95,2
177,96,2
174,97,2
170,100,2
166,102,2
162,105,2
157,107,2
151,110,2
145,113,2
140,116,2
135,118,2
130,121,2
126,125,2
122,125,2
119,127,2
117,130,2
115,130,2
113,130,2
112,132,2
112,132,2
*****
exclamation_point
105,9,1
100,72,1
98,78,1
97,84,1
96,89,1
95,94,1
94,98,1
94,102,1
93,103,1
93,107,1
93,107,1
96,149,2
96,149,2
96,149,3
96,149,3
96,149,3
*****
arrowhead
28,85,1
110,80,1
118,80,1
127,80,1
135,80,1
141,80,1
147,80,1
152,80,1
156,80,1
160,80,1
162,80,1
164,80,1
165,80,1
165,80,1
139,38,2
183,81,2
186,85,2
188,86,2
189,88,2
190,90,2
191,92,2
183,93,2
180,95,2
177,96,2
174,97,2
170,100,2
166,102,2
162,105,2
157,107,2
151,110,2
145,113,2
140,116,2
135,118,2
130,121,2
126,125,2
122,125,2
119,127,2
117,130,2
115,130,2
113,130,2
112,132,2
112,132,2
*****
five_point_star
72,130,1
135,71,1
142,66,1
148,61,1
154,56,1
160,52,1
165,48,1
170,45,1
174,42,1
177,40,1
179,38,1
181,37,1
182,35,1
184,35,1
144,37,1
137,37,1
130,37,1
122,37,1
115,38,1
107,38,1
100,38,1
93,38,1
87,38,1
81,38,1
77,38,1
73,38,1
69,38,1
66,38,1
65,38,1
63,38,1
61,38,1
96,72,1
102,76,1
108,81,1
115,85,1
120,90,1
127,95,1
132,98,1
138,102,1
143,106,1
148,110,1
153,113,1
157,115,1
160,117,1
163,120,1
166,121,1
168,122,1
169,123,1
171,123,1
156,85,1
154,78,1
152,71,1
150,65,1
148,57,1
146,50,1
144,43,1
142,37,1
140,30,1
138,25,1
137,20,1
136,15,1
135,11,1
134,8,1
134,6,1
133,5,1
133,2,1
133,1,1
132,5,1
131,6,1
131,10,1
130,11,1
128,15,1
127,20,1
125,23,1
123,27,1
121,32,1
119,37,1
115,43,1
112,50,1
109,55,1
107,60,1
104,65,1
101,71,1
99,76,1
96,81,1
94,86,1
91,91,1
88,96,1
86,100,1
84,105,1
83,108,1
81,111,1
80,115,1
79,117,1
77,120,1
76,121,1
75,123,1
75,123,1
*****
